customer_id,company_name,cnpj,state,city,segment,plan,main_product,mrr,status,contact_email
CUST001,Supermercado Boa Compra,12.345.678/0001-90,MG,Belo Horizonte,Supermercado,Enterprise,VendeFácil Estoque,2450.0,Ativo,gerencia@boacompra.com.br
CUST002,Drogaria Vida & Saúde,23.456.789/0001-01,MG,Uberlândia,Farmácia,Pro,VendeFácil PDV,890.0,Ativo,contato@drogariavidasaude.com.br
CUST003,Padaria Pão Quentinho,34.567.890/0001-12,SP,Campinas,Alimentação,Basic,VendeFácil PDV,350.0,Ativo,financeiro@paoquentinho.com.br
CUST004,Boutique Moda Elegante,45.678.901/0001-23,RJ,Niterói,Vestuário,Pro,VendeFácil Loja,1100.0,Ativo,atendimento@modaelegante.com.br
CUST005,Materiais de Construção Silva,56.789.012/0001-34,MG,Juiz de Fora,Construção,Enterprise,VendeFácil Estoque,1980.0,Ativo,compras@silvaconstrucao.com.br
CUST006,Livraria Saber & Arte,67.890.123/0001-45,SP,São Paulo,Varejo Cultural,Pro,VendeFácil Analytics,950.0,Ativo,ti@saberarte.com.br
CUST007,PetShop Amigo Fiel,78.901.234/0001-56,PR,Curitiba,Pet,Basic,VendeFácil PDV,350.0,Ativo,contato@amigofielpet.com.br
CUST008,Auto Peças Central,89.012.345/0001-67,SP,Ribeirão Preto,Automotivo,Enterprise,VendeFácil Pay,3100.0,Ativo,gerencia@autopecascentral.com.br
CUST009,Empório Gourmet Mineiro,90.123.456/0001-78,MG,Ouro Preto,Alimentação,Pro,VendeFácil Estoque,1200.0,Ativo,compras@emporiomineiro.com.br
CUST0010,Ótica Visão Clara,01.234.567/0001-89,RS,Porto Alegre,Saúde/Ótica,Basic,VendeFácil PDV,400.0,Cancelado,financeiro@visaoclara.com.br
CUST011,Distribuidora Porto Comercial,10.496.582/0001-00,ES,Vitória,Supermercado,Enterprise,VendeFácil Estoque,2340.05,Ativo,contato@distribuidorapo.com.br
CUST012,Rede Sousa Ltda,81.607.594/0001-03,SP,Bauru,Supermercado,Basic,VendeFácil PDV,318.74,Ativo,contato@redesousaltda.com.br
CUST013,Casa do Montenegro Comercial,90.356.478/0001-41,CE,Caucaia,Calçados,Enterprise,VendeFácil Estoque,3022.12,Ativo,contato@casadomontenegr.com.br
CUST014,Comércio de Machado Me,94.061.325/0001-28,PR,Curitiba,Alimentação,Enterprise,VendeFácil Estoque,2576.18,Ativo,contato@comérciodemacha.com.br
CUST015,Atacado Cassiano Ltda,35.109.627/0001-60,SP,Campinas,Pet,Basic,VendeFácil PDV,371.8,Ativo,contato@atacadocassiano.com.br
CUST016,Centro de Pereira Me,40.798.352/0001-59,DF,Águas Claras,Eletrônicos,Basic,VendeFácil PDV,494.62,Ativo,contato@centrodepereira.com.br
CUST017,Comércio de da Rocha Me,95.380.617/0001-96,ES,Serra,Cosméticos,Pro,VendeFácil Estoque,1207.97,Ativo,contato@comérciodedaroc.com.br
CUST018,Empório Barros S.A.,31.629.785/0001-90,SP,SJC,Farmácia,Pro,VendeFácil Analytics,1058.48,Ativo,contato@empóriobarrossa.com.br
CUST019,Distribuidora Fogaça Comercial,34.185.760/0001-32,SC,Blumenau,Vestuário,Enterprise,VendeFácil Estoque,2327.16,Inativo,contato@distribuidorafo.com.br
CUST020,Atacado Martins Comercial,64.352.018/0001-35,ES,Vila Velha,Eletrônicos,Enterprise,VendeFácil Estoque,2291.7,Ativo,contato@atacadomartinsc.com.br
CUST021,Mundo da Dias Me,64.178.295/0001-73,RS,Pelotas,Supermercado,Pro,VendeFácil Estoque,1284.17,Ativo,contato@mundodadiasme.com.br
CUST022,Mundo da Monteiro Eireli,67.281.593/0001-82,SP,SJC,Cosméticos,Enterprise,VendeFácil Estoque,2403.48,Ativo,contato@mundodamonteiro.com.br
CUST023,Rede Pacheco Eireli,69.518.430/0001-04,RJ,Petrópolis,Alimentação,Pro,VendeFácil Estoque,1234.24,Ativo,contato@redepachecoeire.com.br
CUST024,Casa do Sá Ltda,01.258.396/0001-34,GO,Rio Verde,Varejo Cultural,Pro,VendeFácil Estoque,1398.26,Ativo,contato@casadosáltda.com.br
CUST025,Rede Garcia Ltda,97.480.523/0001-14,MG,Uberlândia,Alimentação,Enterprise,VendeFácil Estoque,2155.97,Ativo,contato@redegarcialtda.com.br
CUST026,Mercado Fernandes Ltda,14.693.025/0001-22,BA,Camaçari,Cosméticos,Pro,VendeFácil Analytics,1246.84,Cancelado,contato@mercadofernande.com.br
CUST027,Casa do Teixeira Ltda,28.165.970/0001-66,ES,Serra,Conveniência,Pro,VendeFácil Loja,878.09,Ativo,contato@casadoteixeiral.com.br
CUST028,Atacado Freitas Comercial,28.049.376/0001-00,DF,Ceilândia,Eletrônicos,Pro,VendeFácil Estoque,1079.99,Ativo,contato@atacadofreitasc.com.br
CUST029,Centro de Fonseca Ltda,43.019.752/0001-07,GO,Aparecida de Goiânia,Alimentação,Pro,VendeFácil Loja,1333.76,Ativo,contato@centrodefonseca.com.br
CUST030,Atacado Mendonça S.A.,18.295.364/0001-01,GO,Anápolis,Automotivo,Basic,VendeFácil PDV,322.37,Ativo,contato@atacadomendonça.com.br
CUST031,Distribuidora Moura Comercial,96.345.128/0001-66,MG,Montes Claros,Cosméticos,Basic,VendeFácil PDV,317.13,Ativo,contato@distribuidoramo.com.br
CUST032,Centro de Rios Comercial,57.801.964/0001-56,RJ,Niterói,Conveniência,Pro,VendeFácil Analytics,1560.14,Ativo,contato@centroderioscom.com.br
CUST033,Mundo da Almeida Me,98.341.062/0001-61,BA,Feira de Santana,Eletrônicos,Enterprise,VendeFácil Estoque,3003.79,Ativo,contato@mundodaalmeidam.com.br
CUST034,Rede Pires Comercial,03.192.678/0001-01,PE,Caruaru,Farmácia,Pro,VendeFácil Estoque,896.05,Ativo,contato@redepirescomerc.com.br
CUST035,Comércio de Rios Ltda,73.254.680/0001-43,RS,Santa Maria,Vestuário,Basic,VendeFácil PDV,314.2,Ativo,contato@comércioderiosl.com.br
CUST036,Comércio de Viana Comercial,76.308.921/0001-88,MG,Contagem,Farmácia,Enterprise,VendeFácil Pay,2133.21,Ativo,contato@comérciodeviana.com.br
CUST037,Mundo da Jesus S.A.,70.183.265/0001-58,RJ,Nova Iguaçu,Cosméticos,Enterprise,VendeFácil Pay,2461.74,Ativo,contato@mundodajesussa.com.br
CUST038,Mercado Correia Ltda,38.719.624/0001-36,SP,Campinas,Conveniência,Pro,VendeFácil Analytics,1115.72,Ativo,contato@mercadocorreial.com.br
CUST039,Comércio de da Cruz S.A.,17.905.463/0001-03,MG,Uberaba,Calçados,Pro,VendeFácil Loja,1360.41,Ativo,contato@comérciodedacru.com.br
CUST040,Distribuidora Sá Eireli,32.697.150/0001-92,CE,Sobral,Alimentação,Pro,VendeFácil Analytics,987.62,Ativo,contato@distribuidorasá.com.br
CUST041,Distribuidora Cavalcante S.A.,60.923.754/0001-45,CE,Fortaleza,Supermercado,Enterprise,VendeFácil Estoque,3498.85,Ativo,contato@distribuidoraca.com.br
CUST042,Mercado Siqueira S.A.,87.219.605/0001-56,RJ,Volta Redonda,Automotivo,Pro,VendeFácil Analytics,1010.31,Ativo,contato@mercadosiqueira.com.br
CUST043,Atacado Sousa Eireli,80.596.432/0001-46,BA,Salvador,Pet,Pro,VendeFácil Loja,1448.56,Ativo,contato@atacadosousaeir.com.br
