sale_id,customer_id,company_name,store_id,store_name,state,city,product_id,product_name,date,payment_method,amount_brl,pos_terminal,status
SLS-10001,CUST1875,Empório da Cunha Eireli,STR-005,Filial Shopping Rio de Janeiro,RJ,Rio de Janeiro,PROD-LOJA,VendeFácil Loja,2025-05-04 14:47:10,Cartão de Débito,1306.01,Caixa 03,Estornada
SLS-10002,CUST1037,Casa do Sampaio S.A.,STR-007,Express Cascavel,PR,Cascavel,PROD-ESTOQUE,VendeFácil Estoque,2025-01-13 00:35:25,PIX,930.72,Caixa 04,Aprovada
SLS-10003,CUST401,Comércio de Costela Eireli,STR-050,Express Contagem,MG,Contagem,PROD-PDV,VendeFácil PDV,2025-02-04 09:13:38,Boleto Bancário,863.55,Caixa 02,Aprovada
SLS-10004,CUST224,Empório Moraes Ltda,STR-043,Filial Bairro Rio Verde,GO,Rio Verde,PROD-PDV,VendeFácil PDV,2025-12-24 21:45:23,Cartão de Débito,535.31,Caixa 03,Aprovada
SLS-10005,CUST1887,Mercado Aparecida Ltda,STR-020,Filial Bairro Serra,ES,Serra,PROD-PAY,VendeFácil Pay,2025-10-29 17:25:10,Dinheiro,1888.14,Caixa 03,Aprovada
SLS-10006,CUST005,Materiais de Construção Silva,STR-003,Matriz Juiz de Fora,MG,Juiz de Fora,PROD-LOJA,VendeFácil Loja,2025-06-29 01:07:48,Cartão de Débito,1167.7,Caixa 04,Cancelada
SLS-10007,CUST401,Comércio de Costela Eireli,STR-050,Express Contagem,MG,Contagem,PROD-ANALYTICS,VendeFácil Analytics,2025-12-19 21:22:35,Dinheiro,866.45,Caixa 02,Aprovada
SLS-10008,CUST625,Comércio de Macedo Eireli,STR-025,Matriz Chapecó,SC,Chapecó,PROD-ANALYTICS,VendeFácil Analytics,2026-01-24 03:09:40,Boleto Bancário,426.51,Caixa 01,Aprovada
SLS-10009,CUST1271,Mundo da da Cruz Ltda,STR-016,Filial Zona Sul Olinda,PE,Olinda,PROD-PDV,VendeFácil PDV,2025-08-21 13:49:47,Cartão de Débito,480.34,Caixa 04,Aprovada
SLS-10010,CUST140,Atacado da Rocha Ltda,STR-021,Express Salvador,BA,Salvador,PROD-PAY,VendeFácil Pay,2026-02-02 16:25:39,Cartão de Crédito,1948.88,Caixa 02,Aprovada
SLS-10011,CUST1611,Comércio de Fogaça S.A.,STR-044,Filial Zona Sul Caucaia,CE,Caucaia,PROD-PAY,VendeFácil Pay,2025-12-12 01:01:40,Dinheiro,1444.4,Caixa 02,Aprovada
SLS-10012,CUST714,Rede Borges Ltda,STR-018,Filial Zona Sul Porto Alegre,RS,Porto Alegre,PROD-PAY,VendeFácil Pay,2025-07-18 19:30:10,PIX,874.55,Caixa 01,Estornada
SLS-10013,CUST1689,Comércio de Ribeiro Comercial,STR-034,Filial Zona Sul Caucaia,CE,Caucaia,PROD-ESTOQUE,VendeFácil Estoque,2025-08-20 10:40:55,Cartão de Crédito,549.33,Caixa 02,Aprovada
SLS-10014,CUST409,Rede da Cruz Eireli,STR-008,Matriz Fortaleza,CE,Fortaleza,PROD-ESTOQUE,VendeFácil Estoque,2025-02-09 07:14:59,Boleto Bancário,1214.51,Caixa 01,Aprovada
SLS-10015,CUST401,Comércio de Costela Eireli,STR-050,Express Contagem,MG,Contagem,PROD-ESTOQUE,VendeFácil Estoque,2026-01-31 13:42:57,PIX,940.39,Caixa 01,Aprovada
SLS-10016,CUST1611,Comércio de Fogaça S.A.,STR-044,Filial Zona Sul Caucaia,CE,Caucaia,PROD-ANALYTICS,VendeFácil Analytics,2025-04-28 16:11:23,PIX,321.08,Caixa 02,Aprovada
SLS-10017,CUST1220,Atacado Gonçalves Eireli,STR-048,Matriz Caucaia,CE,Caucaia,PROD-PAY,VendeFácil Pay,2025-10-16 00:51:43,Boleto Bancário,1598.51,Caixa 07,Estornada
SLS-10018,CUST1612,Comércio de Garcia Me,STR-028,Filial Centro Uberaba,MG,Uberaba,PROD-PAY,VendeFácil Pay,2025-12-22 13:24:32,Dinheiro,436.86,Caixa 04,Aprovada
SLS-10019,CUST714,Rede Borges Ltda,STR-018,Filial Zona Sul Porto Alegre,RS,Porto Alegre,PROD-PAY,VendeFácil Pay,2025-12-26 15:22:25,PIX,314.22,Caixa 01,Estornada
SLS-10020,CUST833,Lojas Azevedo Comercial,STR-023,Filial Centro Taguatinga,DF,Taguatinga,PROD-ANALYTICS,VendeFácil Analytics,2025-09-17 08:51:20,Cartão de Crédito,334.71,Caixa 03,Aprovada
